,Women,Women,Women,Men,Men,Men
,home_score,away_score,number_of_matches,home_score,away_score,number_of_matches
competition_stage.name,,,,,,
3rd Place Final,1.0,2.0,1,2.0,0.0,1
Final,2.0,0.0,1,4.0,2.0,1
Group Stage,1.65,1.275,40,1.3333333333333333,1.2083333333333333,48
Round of 16,1.875,0.625,8,1.875,1.125,8
Semi-finals,1.0,1.0,2,1.5,0.5,2
